System.number,Sample,Latitude,Longitude,Date,Time,Local.time,Site,Location,Status,Zone,Depth,Observer,Successful.count,Successful.length,Habitat.Length.analyst,Habitat.length.complete.date,Video.notes,Raw.hdd.number,Con.hdd.number,Forwards.habitat.image.saved,Forwards.habitat.image.annotated,Backwards.habitat.image.saved,Backwards.habitat.image.annotated,Maxn.analyst,Maxn.complete.yyyymmdd,Maxn.checker,Length.analyst,Length.complete.date.yyyymmdd,Notes
,Br35,-34.429394539555,119.675254264683,2022-12-12,2022-12-11 22:00:02,2022-12-12 06:00:02,Bremer,South-west Corner,Fished,Special Purpose Zone (Mining Exclusion),66,,,,,,"First drop of the day. All cameras and lights were checked and tightened, all cameras were synced with lights and claps before drop",,CON1,Yes,Molly,,,,,,,,
,Br137,-34.4416517445583,119.605887179503,2022-12-12,2022-12-11 22:28:18,2022-12-12 06:28:18,Bremer,South-west Corner,Fished,Special Purpose Zone (Mining Exclusion),63,,,,,,Northern cameras were checked before drop,,CON1,Yes,,,,,,,,,
,Br161,-34.4654408581226,119.628053109139,2022-12-12,2022-12-11 22:46:35,2022-12-12 06:46:35,Bremer,South-west Corner,Fished,Special Purpose Zone (Mining Exclusion),65,,,,,,,,CON1,Yes,Molly,,,,,,,,
,Br200,-34.454552772313,119.65221738604,2022-12-12,2022-12-11 23:02:52,2022-12-12 07:02:52,Bremer,South-west Corner,Fished,Special Purpose Zone (Mining Exclusion),67,,,,,,,,CON1,Yes,Molly,,,,,,,,
,Br120,-34.4652668760977,119.68285623891,2022-12-12,2022-12-11 23:21:25,2022-12-12 07:21:25,Bremer,South-west Corner,Fished,Special Purpose Zone (Mining Exclusion),68,,,,,,"After drop did sync with lights and claps, and checked and tightened all cameras and lights",,CON1,Yes,,,,,,,,,skipped sync point when compositing
,Br33,-34.4815512741786,119.655410013831,2022-12-12,2022-12-11 23:39:04,2022-12-12 07:39:04,Bremer,South-west Corner,Fished,Special Purpose Zone (Mining Exclusion),67,,,,,,,,CON1,Yes,Molly,,,,,,,,
,Br38,-34.4940839380882,119.676528646186,2022-12-12,2022-12-11 23:54:35,2022-12-12 07:54:35,Bremer,South-west Corner,Fished,Special Purpose Zone (Mining Exclusion),73,,,,,,,,CON1,Yes,Molly,,,,,,,,
,Br166,-34.5172198368688,119.69252826842,2022-12-12,2022-12-12 00:11:31,2022-12-12 08:11:31,Bremer,South-west Corner,Fished,Special Purpose Zone (Mining Exclusion),75,,,,,,After drop northern cameras were checked,,CON1,Yes,Molly,,,,,,,,
,Br118,-34.5172664203332,119.637858398331,2022-12-12,2022-12-12 00:35:07,2022-12-12 08:35:07,Bremer,South-west Corner,Fished,Special Purpose Zone (Mining Exclusion),74,,,,,,,,CON1,Yes,,,,,,,,,
,Br123,-34.5328838864651,119.657107317678,2022-12-12,2022-12-12 00:51:18,2022-12-12 08:51:18,Bremer,South-west Corner,Fished,Special Purpose Zone (Mining Exclusion),77,,,,,,"After drop all cameras and lights tightened and checked, and cameras were synced with lights and claps",,CON1,Yes,,,,,,,,,
,Br77,-34.5357931821558,119.630707008271,2022-12-12,2022-12-12 01:07:45,2022-12-12 09:07:45,Bremer,South-west Corner,Fished,Special Purpose Zone (Mining Exclusion),74,,,,,,,,CON1,Yes,Molly,,,,,,,,
,Br142,-34.5440230290106,119.603935669498,2022-12-12,2022-12-12 01:24:44,2022-12-12 09:24:44,Bremer,South-west Corner,Fished,Special Purpose Zone (Mining Exclusion),74,,,,,,,,CON1,Yes,,,,,,,,,
,Br104,-34.5681684363543,119.610963631937,2022-12-12,2022-12-12 01:41:49,2022-12-12 09:41:49,Bremer,South-west Corner,Fished,Special Purpose Zone (Mining Exclusion),79,,,,,,,,CON1,Yes,Molly,,,,,,,,
,Br189,-34.5804088090696,119.621291620251,2022-12-12,2022-12-12 01:56:53,2022-12-12 09:56:53,Bremer,South-west Corner,Fished,Special Purpose Zone (Mining Exclusion),78,,,,,,,,CON1,Yes,,,,,,,,,
,Br63,-34.5873660228758,119.637229134763,2022-12-12,2022-12-12 02:10:43,2022-12-12 10:10:43,Bremer,South-west Corner,Fished,Special Purpose Zone (Mining Exclusion),79,,,,,,Northern cameras checked and all recording ,,CON1,Yes,Molly,,,,,,,,
,Br153,-34.5736000714817,119.662306800678,2022-12-12,2022-12-12 02:27:36,2022-12-12 10:27:36,Bremer,South-west Corner,Fished,Special Purpose Zone (Mining Exclusion),80,,,,,,"After drop all cameras and lights were checked and tightened, cameras were synced with lights and claps ",,CON1,Yes,Molly,,,,,,,,skipped sync point when comopsiting
,Br67,-34.6105114963673,119.652694634899,2022-12-12,2022-12-12 02:48:26,2022-12-12 10:48:26,Bremer,South-west Corner,Fished,Special Purpose Zone (Mining Exclusion),80,,,,,,,,CON1,Yes,Molly,,,,,,,,
,Br20,-34.6068619903565,119.614955281529,2022-12-12,2022-12-12 03:07:20,2022-12-12 11:07:20,Bremer,South-west Corner,Fished,Special Purpose Zone (Mining Exclusion),78,,,,,,,,CON1,Yes,Molly,,,,,,,,
,Br149,-34.6245131097376,119.631851711674,2022-12-12,2022-12-12 03:23:26,2022-12-12 11:23:26,Bremer,South-west Corner,Fished,Special Purpose Zone (Mining Exclusion),81,,,,,,,,CON1,Yes,Molly,,,,,,,,
,Br176,-34.6347257786644,119.624184639233,2022-12-12,2022-12-12 03:36:15,2022-12-12 11:36:15,Bremer,South-west Corner,Fished,Special Purpose Zone (Mining Exclusion),81,,,,,,,,CON1,Yes,Molly,,,,,,,,
,Br47,-34.6387527017683,119.607247996903,2022-12-12,2022-12-12 03:48:58,2022-12-12 11:48:58,Bremer,South-west Corner,Fished,Special Purpose Zone (Mining Exclusion),79,,,,,,"Final drop of the day, after drop cameras were synced with lights and claps ",,CON1,Yes,Molly,,,,,,,,
